,pcid,compName,smile,iupac name
0,218066,(-)-17-Oxosparteine,C1CCN2CC3CC(C2C1)C(=O)N4C3CCCC4,"(1S,2S,9R,10R)-7,15-diazatetracyclo[7.7.1.02,7.010,15]heptadecan-8-one"
1,5351589,(-)-Anagyrine,C1CCN2CC3CC(C2C1)CN4C3=CC=CC4=O,"(1R,9R,10R)-7,15-diazatetracyclo[7.7.1.02,7.010,15]heptadeca-2,4-dien-6-one"
2,12306807,(-)-Angustifoline,C=CCC1C2CC(CN1)C3CCCC(=O)N3C2,"(1S,2R,9S,10S)-10-prop-2-enyl-7,11-diazatricyclo[7.3.1.02,7]tridecan-6-one"
3,10235,(-)-Cytisine,C1C2CNCC1C3=CC=CC(=O)N3C2,"(1R,9S)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one"
4,91461,(-)-Lupinine,C1CCN2CCCC(C2C1)CO,"[(1R,9aR)-2,3,4,6,7,8,9,9a-octahydro-1H-quinolizin-1-yl]methanol"
5,81263,(-)-Rhodinol,CC(CCCC(=C)C)CCO,"(3S)-3,7-dimethyloct-7-en-1-ol"
6,3000322,(-)-Scopolamine,CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4,"[(1R,2R,4S,5S)-9-methyl-3-oxa-9-azatricyclo[3.3.1.02,4]nonan-7-yl] (2S)-3-hydroxy-2-phenylpropanoate"
7,15376320,((E)-2-(2-hydroxymethylphenyl)-2-methoxyimino-N-methyl-acetamide),CNC(=O)C(=NOC)C1=CC=CC=C1CO,(2E)-2-[2-(hydroxymethyl)phenyl]-2-methoxyimino-N-methylacetamide
8,146679048,({2-[(2-Ethyl-6-methylphenyl)(isopropoxymethyl)amino]-2-oxoethyl}sulfinyl) acetic acid,CCC1=CC=CC(=C1N(COC(C)C)C(=O)CS(=O)CC(=O)O)C,2-[2-[2-ethyl-6-methyl-N-(propan-2-yloxymethyl)anilino]-2-oxoethyl]sulfinylacetic acid
9,5280655,(+)-13alpha-Tigloyloxylupanine,CC=C(C)C(=O)OC1CCN2CC3CC(C2C1)CN4C3CCCC4=O,"[(1R,2S,4S,9S,10R)-14-oxo-7,15-diazatetracyclo[7.7.1.02,7.010,15]heptadecan-4-yl] (E)-2-methylbut-2-enoate"
10,91471,(+)-Lupanine,C1CCN2CC3CC(C2C1)CN4C3CCCC4=O,"(1S,2R,9S,10S)-7,15-diazatetracyclo[7.7.1.02,7.010,15]heptadecan-6-one"
11,159055,"(1R)-1,7,7-Trimethylbicyclo[2.2.1]heptan-2-one",CC1(C2CCC1(C(=O)C2)C)C,"(1R,4R)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one"
12,146679128,(2-Amino-6-cyclopropyl-pyrimidin-4-yl)-methanol,C1CC1C2=NC(=NC(=C2)CO)N,(2-amino-6-cyclopropylpyrimidin-4-yl)methanol
13,6365451,(2E)-2-Nonenyl acetate,CCCCCCC=CCOC(=O)C,[(E)-non-2-enyl] acetate
14,165362759,(2E)-3-(2-Anilino-6-methyl-4-pyrimidinyl)-2-propen-1-ol,CC1=CC(=NC(=N1)NC2=CC=CC=C2)C=CCO,(E)-3-(2-anilino-6-methylpyrimidin-4-yl)prop-2-en-1-ol
15,67096018,"(2S,5R)-N-[4-(2-Amino-2-oxoethyl)phenyl]-5-methyl-2-(propan-2-yl)cyclohexanecarboxamide",CC1CCC(C(C1)C(=O)NC2=CC=C(C=C2)CC(=O)N)C(C)C,"(2S,5R)-N-[4-(2-amino-2-oxoethyl)phenyl]-5-methyl-2-propan-2-ylcyclohexane-1-carboxamide"
16,146677410,"(5-Chloro-2-methoxy-4-methyl-3-pyridinyl)(2,3-dihydroxy-4-methoxy-6-methylphenyl)methanone",CC1=CC(=C(C(=C1C(=O)C2=C(C(=CN=C2OC)Cl)C)O)O)OC,"(5-chloro-2-methoxy-4-methylpyridin-3-yl)-(2,3-dihydroxy-4-methoxy-6-methylphenyl)methanone"
17,135565261,"(6S)-5-Methyltetrahydrofolic acid, glucosamine salt",CN1C(CNC2=C1C(=O)NC(=N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O.C(C(C(C(C(C=O)N)O)O)O)O.C(C(C(C(C(C=O)N)O)O)O)O,"(2S)-2-[[4-[[(6S)-2-amino-5-methyl-4-oxo-3,6,7,8-tetrahydropteridin-6-yl]methylamino]benzoyl]amino]pentanedioic acid;(2R,3R,4S,5R)-2-amino-3,4,5,6-tetrahydroxyhexanal"
18,146677528,"(7-Amino-5-ethyl[1,2,4]triazolo[1,5-a]pyrimidin-6-yl)acetic acid",CCC1=NC2=NC=NN2C(=C1CC(=O)O)N,"2-(7-amino-5-ethyl-[1,2,4]triazolo[1,5-a]pyrimidin-6-yl)acetic acid"
19,69884,(Diethoxymethyl)benzene,CCOC(C1=CC=CC=C1)OCC,diethoxymethylbenzene
20,5352876,"(E,E)-3,5-Octadien-2-one",CCC=CC=CC(=O)C,"(3E,5E)-octa-3,5-dien-2-one"
21,1787910,"(E,E)-8,10-Dodecadien-1-ol",CC=CC=CCCCCCCCO,"(8E,10E)-dodeca-8,10-dien-1-ol"
22,5363120,"(E,Z)-2,6-Nonadienyl acetate",CCC=CCCC=CCOC(=O)C,"[(2E,6Z)-nona-2,6-dienyl] acetate"
