,pubchemCID,Unnamed: 0,Substance,smiles,compName
0,218066.0,0,(-)-17-Oxosparteine,C1CCN2CC3CC(C2C1)C(=O)N4C3CCCC4,"(1S,2S,9R,10R)-7,15-diazatetracyclo[7.7.1.02,7.010,15]heptadecan-8-one"
1,,1,"(-)-3,7-Dimethyl-6-octen-1-ol",,
2,,2,(-)-Alpha-elemol,,
3,,3,(-)-Alpha-elemol,,
4,,4,(-)-Alpha-elemol,,
5,,5,(-)-Alpha-elemol,,
6,5351589.0,6,(-)-Anagyrine,C1CCN2CC3CC(C2C1)CN4C3=CC=CC4=O,"(1R,9R,10R)-7,15-diazatetracyclo[7.7.1.02,7.010,15]heptadeca-2,4-dien-6-one"
7,12306807.0,7,(-)-Angustifoline,C=CCC1C2CC(CN1)C3CCCC(=O)N3C2,"(1S,2R,9S,10S)-10-prop-2-enyl-7,11-diazatricyclo[7.3.1.02,7]tridecan-6-one"
8,10235.0,8,(-)-Cytisine,C1C2CNCC1C3=CC=CC(=O)N3C2,"(1R,9S)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one"
9,,9,(-)-Hyoscyamine and (-)-Scopolamine group,,
10,91461.0,10,(-)-Lupinine,C1CCN2CCCC(C2C1)CO,"[(1R,9aR)-2,3,4,6,7,8,9,9a-octahydro-1H-quinolizin-1-yl]methanol"
11,81263.0,11,(-)-Rhodinol,CC(CCCC(=C)C)CCO,"(3S)-3,7-dimethyloct-7-en-1-ol"
12,81263.0,12,(-)-Rhodinol,CC(CCCC(=C)C)CCO,"(3S)-3,7-dimethyloct-7-en-1-ol"
13,3000322.0,13,(-)-Scopolamine,CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4,"[(1R,2R,4S,5S)-9-methyl-3-oxa-9-azatricyclo[3.3.1.02,4]nonan-7-yl] (2S)-3-hydroxy-2-phenylpropanoate"
14,3000322.0,14,(-)-Scopolamine,CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4,"[(1R,2R,4S,5S)-9-methyl-3-oxa-9-azatricyclo[3.3.1.02,4]nonan-7-yl] (2S)-3-hydroxy-2-phenylpropanoate"
15,15376320.0,15,((E)-2-(2-hydroxymethylphenyl)-2-methoxyimino-N-methyl-acetamide),CNC(=O)C(=NOC)C1=CC=CC=C1CO,(2E)-2-[2-(hydroxymethyl)phenyl]-2-methoxyimino-N-methylacetamide
